shares,inscode,bidcode,policy_flag,price_normal,dealseq,stkcd2
1000,TRST36,TRST36_1,0,1.4912280702,1,'002276
500,TRST14,TRST14_2,0,1.4736842105,1,'002276
1000,INBK58,INBK58_1,0,1.4473684211,1,'002276
300,INBK54,INBK54_3,0,1.4184210526,1,'002276
500,TRST19,TRST19_1,0,1.4035087719,1,'002276
400,INBK66,INBK66_1,0,1.4035087719,1,'002276
300,TRST14,TRST14_2,0,1.3684210526,1,'002276
400,INBK12,INBK12_4,0,1.3245614035,1,'002276
1000,FUND1,FUND1_7,0,1.3157894737,1,'002276
300,INBK11,INBK11_2,0,1.3157894737,1,'002276
1000,FINC6,FINC6_1,0,1.3157894737,1,'002276
200,INBK29,INBK29_4,0,1.3157894737,1,'002276
500,TRST19,TRST19_1,0,1.3157894737,1,'002276
500,FUND47,FUND47_2,0,1.3157894737,1,'002276
400,TRST29,TRST29_1,0,1.3157894737,1,'002276
1000,INBK77,INBK77_38,0,1.3157894737,1,'002276
1000,INBK77,INBK77_45,0,1.3157894737,1,'002276
600,FINC14,FINC14_1,0,1.3061403509,1,'002276
1000,TRST17,TRST17_1,0,1.3061403509,1,'002276
1000,FINC21,FINC21_1,0,1.3061403509,1,'002276
1000,INBK15,INBK15_3,0,1.298245614,1,'002276
300,INBK54,INBK54_3,0,1.2894736842,1,'002276
1000,TRST39,TRST39_5,0,1.2894736842,1,'002276
500,FUND18,FUND18_13,0,1.2815789474,1,'002276
300,INBK35,INBK35_3,0,1.2807017544,1,'002276
1000,INSN7,INSN7_3,0,1.2807017544,1,'002276
600,INSN7,INSN7_4,0,1.2807017544,1,'002276
610,INSN7,INSN7_5,0,1.2807017544,1,'002276
160,INSN7,INSN7_6,0,1.2807017544,1,'002276
430,INSN7,INSN7_10,0,1.2807017544,1,'002276
630,INSN7,INSN7_11,0,1.2807017544,1,'002276
1000,INSN7,INSN7_24,0,1.2807017544,1,'002276
1000,INSN7,INSN7_25,0,1.2807017544,1,'002276
1000,INSN7,INSN7_27,0,1.2807017544,1,'002276
1000,INSN7,INSN7_28,0,1.2807017544,1,'002276
1000,INSN7,INSN7_29,0,1.2807017544,1,'002276
1000,INSN7,INSN7_30,0,1.2807017544,1,'002276
1000,INSN7,INSN7_31,0,1.2807017544,1,'002276
1000,INSN7,INSN7_38,0,1.2807017544,1,'002276
350,INSN7,INSN7_39,0,1.2807017544,1,'002276
1000,INSN7,INSN7_41,0,1.2807017544,1,'002276
1000,INBK2,INBK2_1,0,1.2789473684,1,'002276
300,INBK11,INBK11_2,0,1.2719298246,1,'002276
600,INBK12,INBK12_4,0,1.2719298246,1,'002276
1000,FUND10,FUND10_4,0,1.2719298246,1,'002276
1000,FUND10,FUND10_14,0,1.2719298246,1,'002276
1000,FUND10,FUND10_15,0,1.2719298246,1,'002276
1000,INBK20,INBK20_5,0,1.2719298246,1,'002276
1000,FUND28,FUND28_4,0,1.2719298246,1,'002276
1000,FUND28,FUND28_11,0,1.2719298246,1,'002276
1000,FUND28,FUND28_12,0,1.2719298246,1,'002276
300,TRST27,TRST27_1,0,1.2719298246,1,'002276
1000,FINC38,FINC38_1,0,1.2719298246,1,'002276
200,TRST14,TRST14_2,0,1.2631578947,1,'002276
1000,FINC33,FINC33_1,0,1.2631578947,1,'002276
1000,INBK11,INBK11_4,0,1.2456140351,1,'002276
400,TRST25,TRST25_1,0,1.2456140351,1,'002276
140,TRST1,TRST1_1,0,1.2280701754,1,'002276
400,INBK11,INBK11_2,0,1.2280701754,1,'002276
500,FINC11,FINC11_1,0,1.2280701754,1,'002276
500,INBK37,INBK37_1,0,1.2280701754,1,'002276
600,TRST29,TRST29_1,0,1.2280701754,1,'002276
300,INBK66,INBK66_1,0,1.2280701754,1,'002276
500,INBK74,INBK74_2,0,1.2280701754,1,'002276
100,INBK78,INBK78_1,0,1.2280701754,1,'002276
1000,INBK42,INBK42_2,0,1.2192982456,1,'002276
1000,QFII8,QFII8_1,0,1.2175438596,1,'002276
300,FINC11,FINC11_1,0,1.2105263158,1,'002276
1000,INBK34,INBK34_1,0,1.2105263158,1,'002276
1000,FINC30,FINC30_1,0,1.2105263158,1,'002276
1000,FINC37,FINC37_1,0,1.2105263158,1,'002276
500,FUND18,FUND18_13,0,1.1964912281,1,'002276
800,INBK48,INBK48_1,0,1.1912280702,1,'002276
300,INBK48,INBK48_4,0,1.1912280702,1,'002276
230,INBK5,INBK5_2,0,1.1842105263,1,'002276
300,FINC7,FINC7_1,0,1.1842105263,1,'002276
500,QFII5,QFII5_1,0,1.1842105263,1,'002276
500,INBK37,INBK37_1,0,1.1842105263,1,'002276
370,TRST18,TRST18_1,0,1.1842105263,1,'002276
1000,TRST22,TRST22_1,0,1.1842105263,1,'002276
1000,INSN12,INSN12_3,0,1.1842105263,1,'002276
1000,INSN12,INSN12_14,0,1.1842105263,1,'002276
300,INBK74,INBK74_2,0,1.1842105263,1,'002276
600,INBK75,INBK75_1,0,1.1842105263,1,'002276
200,TRST39,TRST39_1,0,1.1842105263,1,'002276
700,INBK35,INBK35_3,0,1.1666666667,1,'002276
300,INSN4,INSN4_1,0,1.1666666667,1,'002276
300,INSN4,INSN4_2,0,1.1666666667,1,'002276
230,INSN4,INSN4_7,0,1.1666666667,1,'002276
1000,INSN4,INSN4_9,0,1.1666666667,1,'002276
400,INBK54,INBK54_3,0,1.1605263158,1,'002276
100,INBK8,INBK8_1,0,1.1578947368,1,'002276
200,FINC11,FINC11_1,0,1.1578947368,1,'002276
1000,INBK42,INBK42_5,0,1.1578947368,1,'002276
200,TRST2,TRST2_1,0,1.1561403509,1,'002276
300,INBK14,INBK14_6,0,1.15,1,'002276
100,TRST30,TRST30_6,0,1.149122807,1,'002276
100,TRST30,TRST30_18,0,1.149122807,1,'002276
1000,INBK73,INBK73_5,0,1.149122807,1,'002276
200,INBK74,INBK74_2,0,1.149122807,1,'002276
1000,INSN9,INSN9_4,0,1.1447368421,1,'002276
1000,INSN9,INSN9_5,0,1.1447368421,1,'002276
1000,INSN9,INSN9_6,0,1.1447368421,1,'002276
1000,INSN9,INSN9_8,0,1.1447368421,1,'002276
1000,INSN9,INSN9_9,0,1.1447368421,1,'002276
250,INBK8,INBK8_3,0,1.1403508772,1,'002276
1000,INBK22,INBK22_1,0,1.1403508772,1,'002276
1000,INBK22,INBK22_2,0,1.1403508772,1,'002276
300,FINC7,FINC7_1,0,1.1403508772,1,'002276
1000,FUND19,FUND19_6,0,1.1403508772,1,'002276
1000,FUND19,FUND19_12,0,1.1403508772,1,'002276
1000,INBK42,INBK42_4,0,1.1403508772,1,'002276
1000,INBK42,INBK42_6,0,1.1403508772,1,'002276
1000,FUND26,FUND26_1,0,1.1403508772,1,'002276
240,FUND26,FUND26_2,0,1.1403508772,1,'002276
150,FUND26,FUND26_3,0,1.1403508772,1,'002276
1000,FUND26,FUND26_5,0,1.1403508772,1,'002276
270,FUND26,FUND26_7,0,1.1403508772,1,'002276
1000,FUND26,FUND26_8,0,1.1403508772,1,'002276
160,FUND26,FUND26_10,0,1.1403508772,1,'002276
560,FUND26,FUND26_12,0,1.1403508772,1,'002276
150,FUND26,FUND26_13,0,1.1403508772,1,'002276
560,FUND26,FUND26_15,0,1.1403508772,1,'002276
1000,FUND26,FUND26_35,0,1.1403508772,1,'002276
1000,FUND26,FUND26_41,0,1.1403508772,1,'002276
280,FUND26,FUND26_42,0,1.1403508772,1,'002276
180,FUND26,FUND26_44,0,1.1403508772,1,'002276
250,FUND26,FUND26_45,0,1.1403508772,1,'002276
260,FUND26,FUND26_47,0,1.1403508772,1,'002276
1000,FUND26,FUND26_50,0,1.1403508772,1,'002276
540,FUND26,FUND26_51,0,1.1403508772,1,'002276
1000,FUND26,FUND26_52,0,1.1403508772,1,'002276
410,FUND26,FUND26_54,0,1.1403508772,1,'002276
880,FUND26,FUND26_55,0,1.1403508772,1,'002276
280,FUND26,FUND26_56,0,1.1403508772,1,'002276
700,FUND26,FUND26_57,0,1.1403508772,1,'002276
410,FUND26,FUND26_59,0,1.1403508772,1,'002276
250,FUND26,FUND26_61,0,1.1403508772,1,'002276
260,FUND26,FUND26_62,0,1.1403508772,1,'002276
170,FUND26,FUND26_63,0,1.1403508772,1,'002276
270,FUND26,FUND26_64,0,1.1403508772,1,'002276
400,FUND26,FUND26_66,0,1.1403508772,1,'002276
670,FUND26,FUND26_67,0,1.1403508772,1,'002276
740,FUND26,FUND26_68,0,1.1403508772,1,'002276
890,FUND26,FUND26_69,0,1.1403508772,1,'002276
1000,FUND26,FUND26_70,0,1.1403508772,1,'002276
1000,FUND26,FUND26_71,0,1.1403508772,1,'002276
1000,FUND26,FUND26_73,0,1.1403508772,1,'002276
560,FUND26,FUND26_74,0,1.1403508772,1,'002276
1000,FUND26,FUND26_75,0,1.1403508772,1,'002276
120,FUND26,FUND26_76,0,1.1403508772,1,'002276
190,FUND26,FUND26_77,0,1.1403508772,1,'002276
190,FUND26,FUND26_78,0,1.1403508772,1,'002276
1000,FUND26,FUND26_79,0,1.1403508772,1,'002276
160,FUND26,FUND26_80,0,1.1403508772,1,'002276
300,TRST24,TRST24_1,0,1.1403508772,1,'002276
100,INSN7,INSN7_1,0,1.1403508772,1,'002276
410,TRST40,TRST40_1,0,1.1403508772,1,'002276
1000,INBK42,INBK42_1,0,1.1394736842,1,'002276
1000,INSN9,INSN9_1,0,1.1315789474,1,'002276
1000,FUND27,FUND27_11,0,1.1236842105,1,'002276
1000,FINC3,FINC3_2,0,1.1228070175,1,'002276
200,INSN4,INSN4_1,0,1.1228070175,1,'002276
200,INSN4,INSN4_2,0,1.1228070175,1,'002276
300,INSN4,INSN4_7,0,1.1228070175,1,'002276
1000,TRST41,TRST41_1,0,1.1228070175,1,'002276
500,INSN8,INSN8_4,0,1.1184210526,1,'002276
400,INSN4,INSN4_8,0,1.1140350877,1,'002276
300,INSN4,INSN4_10,0,1.1140350877,1,'002276
100,INSN4,INSN4_12,0,1.1140350877,1,'002276
100,INSN4,INSN4_13,0,1.1140350877,1,'002276
100,INSN4,INSN4_14,0,1.1140350877,1,'002276
400,INSN4,INSN4_21,0,1.1140350877,1,'002276
800,INBK33,INBK33_4,0,1.1052631579,1,'002276
410,TRST39,TRST39_1,0,1.1052631579,1,'002276
500,TRST39,TRST39_2,0,1.1052631579,1,'002276
100,TRST2,TRST2_1,0,1.1035087719,1,'002276
700,INBK48,INBK48_4,0,1.1035087719,1,'002276
1000,FINC32,FINC32_1,0,1.1035087719,1,'002276
180,FUND55,FUND55_4,0,1.0973684211,1,'002276
490,INBK5,INBK5_2,0,1.0964912281,1,'002276
1000,FINC5,FINC5_1,0,1.0964912281,1,'002276
1000,INBK19,INBK19_11,0,1.0964912281,1,'002276
400,FINC7,FINC7_1,0,1.0964912281,1,'002276
300,INBK44,INBK44_1,0,1.0964912281,1,'002276
1000,INBK56,INBK56_1,0,1.0964912281,1,'002276
1000,FINC26,FINC26_1,0,1.0964912281,1,'002276
480,FUND55,FUND55_7,0,1.0964912281,1,'002276
1000,FUND55,FUND55_10,0,1.0964912281,1,'002276
1000,FUND55,FUND55_11,0,1.0964912281,1,'002276
100,TRST30,TRST30_6,0,1.0964912281,1,'002276
100,TRST30,TRST30_18,0,1.0964912281,1,'002276
500,FUND57,FUND57_11,0,1.0964912281,1,'002276
400,INBK75,INBK75_1,0,1.0964912281,1,'002276
100,INBK78,INBK78_1,0,1.0964912281,1,'002276
1000,INBK22,INBK22_4,0,1.0877192982,1,'002276
190,FINC17,FINC17_1,0,1.0859649123,1,'002276
1000,INSN4,INSN4_6,0,1.0789473684,1,'002276
310,FINC17,FINC17_1,0,1.0789473684,1,'002276
1000,INBK57,INBK57_1,0,1.0789473684,1,'002276
100,INSN7,INSN7_32,0,1.0780701754,1,'002276
100,INSN7,INSN7_33,0,1.0780701754,1,'002276
