INST1,INST2,cosine
TRST36,TRST14,0.774596669241
TRST36,INBK58,0.894427191
TRST36,INBK54,1.0
TRST36,TRST19,1.0
TRST36,INBK66,1.0
TRST36,INBK12,1.0
TRST36,FUND1,0.894427191
TRST36,INBK11,1.0
TRST36,FINC6,1.0
TRST36,INBK29,1.0
TRST36,FUND47,0.707106781187
TRST36,TRST29,0.774596669241
TRST36,INBK77,1.0
TRST36,FINC14,0.0
TRST36,TRST17,1.0
TRST36,FINC21,1.0
TRST36,INBK15,1.0
TRST36,TRST39,1.0
TRST36,FUND18,0.836660026534
TRST36,INBK35,1.0
TRST36,INSN7,1.0
TRST36,INBK2,1.0
TRST36,FUND10,1.0
TRST36,INBK20,0.894427191
TRST36,FUND28,1.0
TRST36,TRST27,1.0
TRST36,FINC38,0.4472135955
TRST36,FINC33,0.547722557505
TRST36,TRST25,1.0
TRST36,TRST1,0.4472135955
TRST36,FINC11,0.632455532034
TRST36,INBK37,0.948683298051
TRST36,INBK74,1.0
TRST36,INBK78,0.632455532034
TRST36,INBK42,1.0
TRST36,QFII8,0.894427191
TRST36,INBK34,1.0
TRST36,FINC30,1.0
TRST36,FINC37,0.316227766017
TRST36,INBK48,1.0
TRST36,INBK5,1.0
TRST36,FINC7,1.0
TRST36,QFII5,0.0
TRST36,TRST18,0.632455532034
TRST36,TRST22,0.836660026534
TRST36,INSN12,1.0
TRST36,INBK75,1.0
TRST36,INSN4,1.0
TRST36,INBK8,1.0
TRST36,TRST2,0.774596669241
TRST36,INBK14,0.0
TRST36,TRST30,1.0
TRST36,INBK73,1.0
TRST36,INSN9,0.894427191
TRST36,INBK22,0.948683298051
TRST36,FUND19,1.0
TRST36,FUND26,0.948683298051
TRST36,TRST24,1.0
TRST36,TRST40,1.0
TRST36,FUND27,1.0
TRST36,FINC3,1.0
TRST36,TRST41,0.547722557505
TRST36,INSN8,1.0
TRST36,INBK33,0.948683298051
TRST36,FINC32,1.0
TRST36,FUND55,1.0
TRST36,FINC5,1.0
TRST36,INBK19,0.948683298051
TRST36,INBK44,1.0
TRST36,INBK56,1.0
TRST36,FINC26,1.0
TRST36,FUND57,0.948683298051
TRST36,FINC17,0.0
TRST36,INBK57,1.0
TRST36,FUND54,0.836660026534
TRST36,FUND60,0.948683298051
TRST36,TRST21,0.707106781187
TRST36,FUND9,1.0
TRST36,INBK3,1.0
TRST36,FUND45,0.774596669241
TRST36,TRST32,1.0
TRST36,FUND7,1.0
TRST36,INBK13,0.948683298051
TRST36,INBK21,1.0
TRST36,INBK23,0.0
TRST36,TRST11,0.547722557505
TRST36,INBK26,0.774596669241
TRST36,FUND23,0.948683298051
TRST36,QFII6,0.0
TRST36,INBK53,0.0
TRST36,FUND51,0.707106781187
TRST36,INBK41,0.0
TRST36,FINC2,1.0
TRST36,TRST31,0.948683298051
TRST36,FUND32,0.707106781187
TRST36,FUND48,0.836660026534
TRST36,TRST23,1.0
TRST36,FUND14,1.0
TRST36,FUND17,1.0
TRST36,INSN6,0.948683298051
TRST36,INBK50,1.0
TRST36,INBK69,1.0
TRST36,FUND58,1.0
TRST36,INBK28,0.894427191
TRST36,INSN5,0.894427191
TRST36,TRST5,0.836660026534
TRST36,FUND34,1.0
TRST36,FUND52,1.0
TRST36,INSN11,1.0
TRST36,INBK67,1.0
TRST36,TRST3,1.0
TRST36,INBK61,0.632455532034
TRST36,INBK27,1.0
TRST36,INSN1,0.948683298051
TRST36,FUND15,0.894427191
TRST36,FUND16,0.894427191
TRST36,INBK32,0.0
TRST36,FUND20,0.894427191
TRST36,FUND22,0.547722557505
TRST36,FUND30,0.632455532034
TRST36,FINC20,1.0
TRST36,INBK59,1.0
TRST36,FUND25,0.632455532034
TRST36,TRST15,0.894427191
TRST36,INBK64,1.0
TRST36,TRST4,0.0
TRST36,TRST26,0.0
TRST36,INBK46,0.547722557505
TRST36,FUND39,0.894427191
TRST36,FUND11,0.948683298051
TRST36,INBK72,0.948683298051
TRST36,INBK55,0.632455532034
TRST36,FUND4,1.0
TRST36,INBK9,1.0
TRST36,FUND37,1.0
TRST36,FUND46,0.547722557505
TRST36,FINC28,0.316227766017
TRST36,INSN13,1.0
TRST36,INBK71,1.0
TRST36,FUND2,0.894427191
TRST36,FUND12,0.836660026534
TRST36,FUND36,0.836660026534
TRST36,FUND56,0.836660026534
TRST36,TRST37,0.0
TRST36,FUND8,0.4472135955
TRST36,INBK43,0.0
TRST36,TRST16,0.632455532034
TRST36,TRST28,0.948683298051
TRST36,FUND53,1.0
TRST36,INBK30,0.316227766017
TRST36,INBK24,0.948683298051
TRST36,FUND43,0.948683298051
TRST36,TRST7,0.0
TRST36,TRST20,0.894427191
TRST36,INBK49,0.836660026534
TRST36,FUND40,0.547722557505
TRST36,FUND5,0.632455532034
TRST36,INBK10,0.836660026534
TRST36,FINC24,0.632455532034
TRST36,FINC27,0.0
TRST36,INBK47,0.948683298051
TRST36,FUND42,0.4472135955
TRST36,FUND59,0.632455532034
TRST36,FUND6,0.948683298051
TRST36,TRST13,0.894427191
TRST36,INBK7,0.948683298051
TRST36,FUND38,0.547722557505
TRST36,QFII3,0.0
TRST36,FUND21,0.4472135955
TRST36,FINC35,0.632455532034
TRST36,FUND44,0.0
TRST36,FINC25,0.547722557505
TRST36,INBK68,1.0
TRST36,FINC19,1.0
TRST36,INBK70,1.0
TRST36,TRST8,0.948683298051
TRST36,INSN10,1.0
TRST36,FUND13,0.0
TRST36,FINC18,0.894427191
TRST36,INSN3,0.836660026534
TRST36,FUND24,0.0
TRST36,INBK76,0.894427191
TRST36,TRST9,0.632455532034
TRST36,INBK80,0.0
TRST36,FUND50,0.316227766017
TRST36,INBK63,1.0
TRST36,QFII10,0.0
TRST36,FUND33,0.774596669241
TRST36,INBK18,0.948683298051
TRST36,QFII2,0.632455532034
TRST36,INBK60,1.0
TRST36,INBK62,0.316227766017
TRST36,INBK6,0.894427191
TRST36,FUND31,0.316227766017
TRST36,FINC31,0.0
TRST36,FINC34,0.0
TRST36,FINC4,0.0
TRST36,FUND49,0.0
TRST36,FUND61,0.0
TRST36,TRST33,0.0
TRST36,TRST38,0.0
TRST14,INBK58,0.57735026919
TRST14,INBK54,0.774596669241
TRST14,TRST19,0.774596669241
TRST14,INBK66,0.774596669241
