INST1,INST2,cosine
TRST36,TRST14,0.978732298298
TRST36,INBK58,0.991256234949
TRST36,INBK54,0.998414016643
TRST36,TRST19,0.996828240779
TRST36,INBK66,0.994176226648
TRST36,INBK12,0.993903845495
TRST36,FUND1,0.991380438158
TRST36,INBK11,0.999180435413
TRST36,FINC6,0.999436850436
TRST36,INBK29,0.998540583604
TRST36,FUND47,0.998586965182
TRST36,TRST29,0.994249002439
TRST36,INBK77,0.994710400825
TRST36,FINC14,0.0
TRST36,TRST17,0.99800684651
TRST36,FINC21,0.997818569531
TRST36,INBK15,0.996987084625
TRST36,TRST39,0.975725487317
TRST36,FUND18,0.990662084136
TRST36,INBK35,0.994224407591
TRST36,INSN7,0.99424361941
TRST36,INBK2,0.996506625132
TRST36,FUND10,0.990460462947
TRST36,INBK20,0.979331455396
TRST36,FUND28,0.994451084552
TRST36,TRST27,0.998101921569
TRST36,FINC38,0.0
TRST36,FINC33,1.0
TRST36,TRST25,0.996974847567
TRST36,TRST1,0.999363209187
TRST36,FINC11,0.0
TRST36,INBK37,0.987616171699
TRST36,INBK74,0.993589778371
TRST36,INBK78,0.999920009071
TRST36,INBK42,0.997011969712
TRST36,QFII8,0.996502295045
TRST36,INBK34,0.997345756392
TRST36,FINC30,0.983872069419
TRST36,FINC37,0.0
TRST36,INBK48,0.997933771167
TRST36,INBK5,0.998837242908
TRST36,FINC7,0.994475418488
TRST36,QFII5,0.0
TRST36,TRST18,0.999997765393
TRST36,TRST22,0.999363089418
TRST36,INSN12,0.985895931878
TRST36,INBK75,0.996033862369
TRST36,INSN4,0.98750878905
TRST36,INBK8,0.985923728366
TRST36,TRST2,0.999844096355
TRST36,INBK14,0.0
TRST36,TRST30,0.995510858421
TRST36,INBK73,0.99430656369
TRST36,INSN9,0.996014578232
TRST36,INBK22,0.994341314045
TRST36,FUND19,0.993125367245
TRST36,FUND26,0.978342168916
TRST36,TRST24,0.999147185752
TRST36,TRST40,0.996771021926
TRST36,FUND27,0.997105207743
TRST36,FINC3,0.999011220235
TRST36,TRST41,0.999695732974
TRST36,INSN8,0.995850024745
TRST36,INBK33,0.990359971509
TRST36,FINC32,0.998640339061
TRST36,FUND55,0.983987168417
TRST36,FINC5,0.993270586642
TRST36,INBK19,0.972575980981
TRST36,INBK44,0.995548085606
TRST36,INBK56,0.987906775981
TRST36,FINC26,1.0
TRST36,FUND57,0.994178677507
TRST36,FINC17,0.0
TRST36,INBK57,0.988900762456
TRST36,FUND54,0.994671456465
TRST36,FUND60,0.979887479182
TRST36,TRST21,0.996659005945
TRST36,FUND9,0.995873023838
TRST36,INBK3,0.997741484888
TRST36,FUND45,0.994116199166
TRST36,TRST32,0.997906646565
TRST36,FUND7,0.998492928892
TRST36,INBK13,0.97554743864
TRST36,INBK21,0.997265718258
TRST36,INBK23,0.0
TRST36,TRST11,1.0
TRST36,INBK26,0.999999077632
TRST36,FUND23,0.974416224446
TRST36,QFII6,0.0
TRST36,INBK53,0.0
TRST36,FUND51,1.0
TRST36,INBK41,0.0
TRST36,FINC2,0.999456384828
TRST36,TRST31,0.996530505683
TRST36,FUND32,0.997477078828
TRST36,FUND48,0.992225747382
TRST36,TRST23,0.987222921726
TRST36,FUND14,0.99802519147
TRST36,FUND17,0.987012008892
TRST36,INSN6,0.983031312338
TRST36,INBK50,0.975879013149
TRST36,INBK69,0.991915240366
TRST36,FUND58,0.97730823519
TRST36,INBK28,0.997886069226
TRST36,INSN5,0.974737615174
TRST36,TRST5,0.989318635611
TRST36,FUND34,0.996490144195
TRST36,FUND52,0.996218136002
TRST36,INSN11,0.996197118958
TRST36,INBK67,0.986855773707
TRST36,TRST3,0.971610547997
TRST36,INBK61,0.999133073576
TRST36,INBK27,0.998551614762
TRST36,INSN1,0.970144923773
TRST36,FUND15,0.988002946255
TRST36,FUND16,0.992165548639
TRST36,INBK32,0.0
TRST36,FUND20,0.990738752708
TRST36,FUND22,0.996268937888
TRST36,FUND30,0.996792112484
TRST36,FINC20,0.998686379999
TRST36,INBK59,0.987811563133
TRST36,FUND25,0.0
TRST36,TRST15,0.995520180234
TRST36,INBK64,0.994677744481
TRST36,TRST4,0.0
TRST36,TRST26,0.0
TRST36,INBK46,0.985535018856
TRST36,FUND39,0.976314895672
TRST36,FUND11,0.995203377256
TRST36,INBK72,0.993879311639
TRST36,INBK55,0.998786843466
TRST36,FUND4,0.993171115323
TRST36,INBK9,0.998888092229
TRST36,FUND37,0.976148550689
TRST36,FUND46,0.995192278912
TRST36,FINC28,0.998826894994
TRST36,INSN13,0.981057941601
TRST36,INBK71,0.983435055424
TRST36,FUND2,0.978193914098
TRST36,FUND12,0.99272965062
TRST36,FUND36,0.999181607299
TRST36,FUND56,0.999420217103
TRST36,TRST37,0.0
TRST36,FUND8,0.0
TRST36,INBK43,0.0
TRST36,TRST16,0.0
TRST36,TRST28,0.997466951459
TRST36,FUND53,0.980085770105
TRST36,INBK30,1.0
TRST36,INBK24,0.995756458872
TRST36,FUND43,1.0
TRST36,TRST7,1.0
TRST36,TRST20,0.994689208882
TRST36,INBK49,0.995497024916
TRST36,FUND40,1.0
TRST36,FUND5,0.996586472211
TRST36,INBK10,0.980070148588
TRST36,FINC24,0.998065977141
TRST36,FINC27,0.0
TRST36,INBK47,0.999465134575
TRST36,FUND42,1.0
TRST36,FUND59,0.986820214148
TRST36,FUND6,0.965254403963
TRST36,TRST13,0.999543528337
TRST36,INBK7,1.0
TRST36,FUND38,1.0
TRST36,QFII3,0.0
TRST36,FUND21,0.990715568191
TRST36,FINC35,0.0
TRST36,FUND44,0.0
TRST36,FINC25,0.0
TRST36,INBK68,0.994632896215
TRST36,FINC19,0.992250587991
TRST36,INBK70,0.998660174531
TRST36,TRST8,0.998377722517
TRST36,INSN10,0.988957018733
TRST36,FUND13,0.0
TRST36,FINC18,0.998653989035
TRST36,INSN3,1.0
TRST36,FUND24,0.0
TRST36,INBK76,0.99197242471
TRST36,TRST9,0.967858585372
TRST36,INBK80,0.0
TRST36,FUND50,0.0
TRST36,INBK63,0.993782659998
TRST36,QFII10,0.0
TRST36,FUND33,0.998931945048
TRST36,INBK18,0.997374475889
TRST36,QFII2,0.988524282608
TRST36,INBK60,0.99896226296
TRST36,INBK62,0.0
TRST36,INBK6,0.991566547397
TRST36,FUND31,0.0
TRST36,FINC31,0.999091374989
TRST36,FINC34,1.0
TRST36,FINC4,0.0
TRST36,FUND49,0.0
TRST36,FUND61,0.0
TRST36,TRST33,0.0
TRST36,TRST38,0.0
TRST14,INBK58,0.98862845024
TRST14,INBK54,0.985494803281
TRST14,TRST19,0.985759979767
TRST14,INBK66,0.979335288904
TRST14,INBK12,0.978756293863
TRST14,FUND1,0.986360956785
TRST14,INBK11,0.97800194171
TRST14,FINC6,0.979990972529
TRST14,INBK29,0.971347572937
TRST14,FUND47,0.986576028647
TRST14,TRST29,0.997479601453
TRST14,INBK77,0.98256462963
TRST14,FINC14,0.0
TRST14,TRST17,0.969249705298
TRST14,FINC21,0.984147869112
TRST14,INBK15,0.987999008591
TRST14,TRST39,0.978492131724
TRST14,FUND18,0.9876008319
TRST14,INBK35,0.98852486012
TRST14,INSN7,0.983321643899
TRST14,INBK2,0.981016331986
TRST14,FUND10,0.989612000368
TRST14,INBK20,0.983383964033
TRST14,FUND28,0.975819619781
TRST14,TRST27,0.986321427148
TRST14,FINC38,0.0
TRST14,FINC33,1.0
TRST14,TRST25,0.96695038917
TRST14,TRST1,0.976885779656
TRST14,FINC11,1.0
TRST14,INBK37,0.976119507802
TRST14,INBK74,0.985599961226
TRST14,INBK78,0.986427110091
TRST14,INBK42,0.98678793371
TRST14,QFII8,0.988169066641
TRST14,INBK34,0.975212411196
TRST14,FINC30,0.98782611273
TRST14,FINC37,0.0
TRST14,INBK48,0.983524386432
TRST14,INBK5,0.978048640574
TRST14,FINC7,0.98912297963
TRST14,QFII5,0.0
TRST14,TRST18,0.984642658619
TRST14,TRST22,0.978218049012
TRST14,INSN12,0.987403399618
TRST14,INBK75,0.97885142348
TRST14,INSN4,0.978719134053
TRST14,INBK8,0.978719855382
TRST14,TRST2,0.983593223441
TRST14,INBK14,0.0
TRST14,TRST30,0.979339824403
TRST14,INBK73,0.989985251579
TRST14,INSN9,0.987834531842
TRST14,INBK22,0.988871225225
TRST14,FUND19,0.987628532763
TRST14,FUND26,0.986786864553
TRST14,TRST24,0.978355678604
TRST14,TRST40,0.987460182066
TRST14,FUND27,0.985252609023
TRST14,FINC3,0.984141571508
TRST14,TRST41,0.9754275239
TRST14,INSN8,0.984406004716
TRST14,INBK33,0.975480408779
TRST14,FINC32,0.982455495257
TRST14,FUND55,0.987203151337
TRST14,FINC5,0.996451959273
TRST14,INBK19,0.965507079611
TRST14,INBK44,0.974762814411
TRST14,INBK56,0.96273959413
TRST14,FINC26,0.997348775631
TRST14,FUND57,0.991800898451
TRST14,FINC17,0.0
TRST14,INBK57,0.987480610117
TRST14,FUND54,0.970293470438
TRST14,FUND60,0.981818943498
TRST14,TRST21,0.999580783255
TRST14,FUND9,0.982215523053
TRST14,INBK3,0.982184540815
TRST14,FUND45,0.96134898222
TRST14,TRST32,0.982562578997
TRST14,FUND7,0.981564004401
TRST14,INBK13,0.975514047482
TRST14,INBK21,0.983265861482
TRST14,INBK23,0.0
TRST14,TRST11,1.0
TRST14,INBK26,0.990660587196
TRST14,FUND23,0.996003218721
TRST14,QFII6,0.0
TRST14,INBK53,1.0
TRST14,FUND51,0.99843828564
TRST14,INBK41,0.0
TRST14,FINC2,0.982615346166
TRST14,TRST31,0.979506177353
TRST14,FUND32,0.988431212909
TRST14,FUND48,0.974585666851
TRST14,TRST23,0.983064618072
TRST14,FUND14,0.973345272399
TRST14,FUND17,0.983919006741
TRST14,INSN6,0.975688025963
TRST14,INBK50,0.973130810418
TRST14,INBK69,0.98241906949
TRST14,FUND58,0.958654763842
TRST14,INBK28,0.979616798704
TRST14,INSN5,0.965774175123
TRST14,TRST5,0.970864277803
TRST14,FUND34,0.97969468941
TRST14,FUND52,0.977664757606
TRST14,INSN11,0.99301481994
TRST14,INBK67,0.988068964295
TRST14,TRST3,0.996655927236
TRST14,INBK61,0.995904606802
TRST14,INBK27,0.982382319538
TRST14,INSN1,0.978869811831
TRST14,FUND15,0.991024517204
TRST14,FUND16,0.996737503498
TRST14,INBK32,0.0
TRST14,FUND20,0.989360947973
TRST14,FUND22,1.0
TRST14,FUND30,0.986092504538
TRST14,FINC20,0.982855735357
TRST14,INBK59,0.979640116786
TRST14,FUND25,1.0
TRST14,TRST15,0.976167762516
TRST14,INBK64,0.968497631533
TRST14,TRST4,0.0
TRST14,TRST26,0.0
TRST14,INBK46,0.982901297286
TRST14,FUND39,0.985988659032
TRST14,FUND11,0.98271157179
TRST14,INBK72,0.98840703496
TRST14,INBK55,0.984623284534
TRST14,FUND4,0.970775972771
TRST14,INBK9,0.984209503661
TRST14,FUND37,0.984092052901
TRST14,FUND46,0.94996702475
TRST14,FINC28,0.98324990415
TRST14,INSN13,0.985929574871
TRST14,INBK71,0.967747087062
TRST14,FUND2,0.98195208038
TRST14,FUND12,0.976836946801
TRST14,FUND36,0.980288877745
TRST14,FUND56,0.98558048448
TRST14,TRST37,0.0
TRST14,FUND8,0.0
TRST14,INBK43,0.0
TRST14,TRST16,0.0
TRST14,TRST28,0.982864893084
TRST14,FUND53,0.984260625629
TRST14,INBK30,0.997016817387
TRST14,INBK24,0.986358641153
TRST14,FUND43,1.0
TRST14,TRST7,1.0
TRST14,TRST20,0.985272508806
TRST14,INBK49,0.977414856117
TRST14,FUND40,1.0
TRST14,FUND5,0.952934733747
TRST14,INBK10,0.981528578485
TRST14,FINC24,0.999891094366
TRST14,FINC27,0.0
TRST14,INBK47,0.979353336163
TRST14,FUND42,1.0
TRST14,FUND59,0.978033809428
TRST14,FUND6,0.978292289581
TRST14,TRST13,0.977926085668
TRST14,INBK7,1.0
TRST14,FUND38,1.0
TRST14,QFII3,0.0
TRST14,FUND21,0.998140145774
TRST14,FINC35,0.0
TRST14,FUND44,0.0
TRST14,FINC25,1.0
TRST14,INBK68,0.986289825965
TRST14,FINC19,0.98560032412
TRST14,INBK70,0.987569670615
TRST14,TRST8,0.975728425754
TRST14,INSN10,0.993950408686
TRST14,FUND13,0.0
TRST14,FINC18,0.972110120516
TRST14,INSN3,0.995861009025
TRST14,FUND24,0.0
TRST14,INBK76,0.991875520705
TRST14,TRST9,0.987006077492
TRST14,INBK80,0.0
TRST14,FUND50,0.0
TRST14,INBK63,0.984520126992
TRST14,QFII10,0.0
TRST14,FUND33,0.962300480352
TRST14,INBK18,0.979163161245
TRST14,QFII2,0.997802929682
TRST14,INBK60,0.982707973275
TRST14,INBK62,0.0
TRST14,INBK6,0.98367086293
TRST14,FUND31,0.0
TRST14,FINC31,0.998882731463
TRST14,FINC34,0.994864934454
TRST14,FINC4,0.0
TRST14,FUND49,0.0
TRST14,FUND61,0.0
TRST14,TRST33,0.0
TRST14,TRST38,0.0
INBK58,INBK54,0.992391684109
INBK58,TRST19,0.993432571388
INBK58,INBK66,0.988141769819
INBK58,INBK12,0.988978418758
INBK58,FUND1,0.995284130874
INBK58,INBK11,0.995273442147
INBK58,FINC6,0.989339202404
INBK58,INBK29,0.986542951887
INBK58,FUND47,0.99592197599
INBK58,TRST29,0.997481090206
INBK58,INBK77,0.989586890269
INBK58,FINC14,0.0
INBK58,TRST17,0.978512590604
INBK58,FINC21,0.994842883913
INBK58,INBK15,0.991431666641
INBK58,TRST39,0.982631712074
INBK58,FUND18,0.993842006807
INBK58,INBK35,0.995049031741
INBK58,INSN7,0.994047729358
INBK58,INBK2,0.992655111167
INBK58,FUND10,0.993435365346
INBK58,INBK20,0.987949437963
INBK58,FUND28,0.984697769973
INBK58,TRST27,0.994363605777
INBK58,FINC38,0.0
INBK58,FINC33,1.0
INBK58,TRST25,0.977540688916
INBK58,TRST1,0.99554390358
INBK58,FINC11,1.0
INBK58,INBK37,0.989790624101
INBK58,INBK74,0.995929270774
INBK58,INBK78,0.990962756031
INBK58,INBK42,0.991660951888
INBK58,QFII8,0.999039382459
INBK58,INBK34,0.989714011757
INBK58,FINC30,0.991995480823
INBK58,FINC37,0.0
INBK58,INBK48,0.994746699178
INBK58,INBK5,0.989658336255
INBK58,FINC7,0.994624126915
INBK58,QFII5,0.0
INBK58,TRST18,0.989494737601
INBK58,TRST22,0.98918099822
INBK58,INSN12,0.98977827539
INBK58,INBK75,0.988520029243
INBK58,INSN4,0.984486016734
INBK58,INBK8,0.986304596979
INBK58,TRST2,0.988088988475
INBK58,INBK14,0.0
INBK58,TRST30,0.9922679143
INBK58,INBK73,0.993071246544
INBK58,INSN9,0.99666854472
INBK58,INBK22,0.995300805973
INBK58,FUND19,0.993440452355
INBK58,FUND26,0.986885639914
INBK58,TRST24,0.987488617259
INBK58,TRST40,0.997307752634
INBK58,FUND27,0.993400710891
INBK58,FINC3,0.993167534081
INBK58,TRST41,0.991228389611
INBK58,INSN8,0.993907570559
INBK58,INBK33,0.986644329203
INBK58,FINC32,0.992303580001
INBK58,FUND55,0.991896933878
INBK58,FINC5,0.997167824436
INBK58,INBK19,0.957608743998
INBK58,INBK44,0.983374139011
INBK58,INBK56,0.986195248805
INBK58,FINC26,0.999836617354
INBK58,FUND57,0.999648115231
INBK58,FINC17,0.0
INBK58,INBK57,0.993122997753
INBK58,FUND54,0.991255986987
INBK58,FUND60,0.99283388765
INBK58,TRST21,0.995803192807
INBK58,FUND9,0.989266027262
INBK58,INBK3,0.993744819994
INBK58,FUND45,0.984553111515
INBK58,TRST32,0.990800385864
INBK58,FUND7,0.989879809067
INBK58,INBK13,0.975135405682
INBK58,INBK21,0.99417685938
INBK58,INBK23,0.0
INBK58,TRST11,1.0
INBK58,INBK26,0.99032827318
INBK58,FUND23,0.981695550971
INBK58,QFII6,0.0
INBK58,INBK53,1.0
INBK58,FUND51,0.996909501737
INBK58,INBK41,0.0
INBK58,FINC2,0.992091543973
INBK58,TRST31,0.987855892677
INBK58,FUND32,0.997012151242
INBK58,FUND48,0.990268564218
INBK58,TRST23,0.992981591076
INBK58,FUND14,0.990555428046
INBK58,FUND17,0.995253403303
INBK58,INSN6,0.987602690153
INBK58,INBK50,0.973920566254
INBK58,INBK69,0.990715288485
INBK58,FUND58,0.9776221977
INBK58,INBK28,0.995214254723
INBK58,INSN5,0.985011452493
INBK58,TRST5,0.971305984012
INBK58,FUND34,0.988701280569
INBK58,FUND52,0.988570946405
INBK58,INSN11,0.991188923827
INBK58,INBK67,0.994130829588
INBK58,TRST3,0.989027976445
INBK58,INBK61,0.999851443784
INBK58,INBK27,0.991109978816
INBK58,INSN1,0.989718099796
INBK58,FUND15,0.989960317681
INBK58,FUND16,0.998472459505
INBK58,INBK32,0.0
INBK58,FUND20,0.994936108196
INBK58,FUND22,0.981482374395
INBK58,FUND30,0.997024658222
INBK58,FINC20,0.989231057537
INBK58,INBK59,0.983397793215
INBK58,FUND25,1.0
INBK58,TRST15,0.989178559897
INBK58,INBK64,0.980752757979
INBK58,TRST4,0.0
INBK58,TRST26,0.0
INBK58,INBK46,0.99327572713
INBK58,FUND39,0.990252149843
INBK58,FUND11,0.995924354363
INBK58,INBK72,0.992941545924
INBK58,INBK55,0.997135142258
INBK58,FUND4,0.983264734411
INBK58,INBK9,0.991982032052
INBK58,FUND37,0.985888451156
INBK58,FUND46,0.995306122141
INBK58,FINC28,0.990024053326
INBK58,INSN13,0.990911527263
INBK58,INBK71,0.981340240098
INBK58,FUND2,0.984044504599
INBK58,FUND12,0.994934012082
INBK58,FUND36,0.98936061052
INBK58,FUND56,0.985241701283
INBK58,TRST37,0.0
INBK58,FUND8,0.0
INBK58,INBK43,0.0
INBK58,TRST16,0.0
INBK58,TRST28,0.990505567899
INBK58,FUND53,0.99021223582
INBK58,INBK30,0.991354054055
INBK58,INBK24,0.994355254692
INBK58,FUND43,0.99956519929
INBK58,TRST7,1.0
INBK58,TRST20,0.991183156646
INBK58,INBK49,0.993458877442
INBK58,FUND40,1.0
INBK58,FUND5,0.980856501977
INBK58,INBK10,0.990923370323
INBK58,FINC24,0.999855755643
INBK58,FINC27,0.0
INBK58,INBK47,0.990296301147
INBK58,FUND42,1.0
INBK58,FUND59,0.988419717173
INBK58,FUND6,0.984594363004
INBK58,TRST13,0.988931800168
INBK58,INBK7,1.0
INBK58,FUND38,1.0
INBK58,QFII3,0.0
INBK58,FUND21,0.992004544779
INBK58,FINC35,0.0
INBK58,FUND44,0.0
INBK58,FINC25,1.0
INBK58,INBK68,0.991141184826
INBK58,FINC19,0.994237826488
INBK58,INBK70,0.992907609924
INBK58,TRST8,0.989385996394
INBK58,INSN10,0.994493218202
INBK58,FUND13,0.0
INBK58,FINC18,0.985402570773
INBK58,INSN3,0.999342761214
INBK58,FUND24,0.0
INBK58,INBK76,0.990688655128
INBK58,TRST9,0.989183790371
INBK58,INBK80,0.0
INBK58,FUND50,0.0
INBK58,INBK63,0.994045370146
INBK58,QFII10,0.0
INBK58,FUND33,0.999311341335
INBK58,INBK18,0.986400989166
INBK58,QFII2,0.997518523889
INBK58,INBK60,0.991481470836
INBK58,INBK62,0.0
INBK58,INBK6,0.992397463705
INBK58,FUND31,0.0
INBK58,FINC31,0.996352385065
INBK58,FINC34,0.999984361236
INBK58,FINC4,0.0
INBK58,FUND49,0.0
INBK58,FUND61,0.0
INBK58,TRST33,0.0
INBK58,TRST38,0.0
INBK54,TRST19,0.997866366687
INBK54,INBK66,0.995254035156
INBK54,INBK12,0.994151506544
INBK54,FUND1,0.994683219609
INBK54,INBK11,0.997622058308
INBK54,FINC6,0.998502105372
INBK54,INBK29,0.993380386779
INBK54,FUND47,0.999737778837
INBK54,TRST29,0.99512957804
INBK54,INBK77,0.997923587922
INBK54,FINC14,0.0
INBK54,TRST17,0.994683306165
INBK54,FINC21,0.996334237621
INBK54,INBK15,0.997542460367
INBK54,TRST39,0.970802610216
INBK54,FUND18,0.998533307477
INBK54,INBK35,0.99679185892
INBK54,INSN7,0.996923271802
INBK54,INBK2,0.996385086457
INBK54,FUND10,0.99099136723
INBK54,INBK20,0.993047815209
INBK54,FUND28,0.995843751661
INBK54,TRST27,0.99800004449
INBK54,FINC38,0.0
INBK54,FINC33,0.0
INBK54,TRST25,0.991922340858
INBK54,TRST1,0.998208186573
INBK54,FINC11,1.0
INBK54,INBK37,0.983649035627
INBK54,INBK74,0.994652494317
INBK54,INBK78,0.999040890372
INBK54,INBK42,0.99900180694
INBK54,QFII8,0.998420108495
INBK54,INBK34,0.993368189049
INBK54,FINC30,0.986434042222
INBK54,FINC37,0.0
INBK54,INBK48,0.996777040071
INBK54,INBK5,0.997991116926
INBK54,FINC7,0.99562357145
INBK54,QFII5,0.0
INBK54,TRST18,0.998524194913
INBK54,TRST22,0.998401743209
INBK54,INSN12,0.988780576443
INBK54,INBK75,0.993981778925
INBK54,INSN4,0.995677368481
INBK54,INBK8,0.980036737903
INBK54,TRST2,0.997628110477
INBK54,INBK14,0.0
INBK54,TRST30,0.995531200107
INBK54,INBK73,0.998953066128
INBK54,INSN9,0.997547915922
INBK54,INBK22,0.991196849662
INBK54,FUND19,0.996209815705
INBK54,FUND26,0.985535895782
INBK54,TRST24,0.998988156301
INBK54,TRST40,0.996791881697
INBK54,FUND27,0.99825946296
INBK54,FINC3,0.998527851992
INBK54,TRST41,0.999789253019
INBK54,INSN8,0.996570739266
INBK54,INBK33,0.989476787118
INBK54,FINC32,0.997525941179
INBK54,FUND55,0.99069220042
INBK54,FINC5,0.99534031343
INBK54,INBK19,0.995428675418
INBK54,INBK44,0.994246083823
INBK54,INBK56,0.99151649487
INBK54,FINC26,0.993497145656
INBK54,FUND57,0.996871910069
INBK54,FINC17,0.0
INBK54,INBK57,0.990447790996
INBK54,FUND54,0.993172192128
INBK54,FUND60,0.985910010552
INBK54,TRST21,1.0
INBK54,FUND9,0.996476752308
INBK54,INBK3,0.998437501613
INBK54,FUND45,0.994357990456
INBK54,TRST32,0.998548967109
INBK54,FUND7,0.999274813951
INBK54,INBK13,0.986042175819
INBK54,INBK21,0.998004483544
INBK54,INBK23,0.0
INBK54,TRST11,1.0
INBK54,INBK26,0.995720245799
INBK54,FUND23,0.990353615944
INBK54,QFII6,0.0
INBK54,INBK53,1.0
INBK54,FUND51,0.998645550762
INBK54,INBK41,0.0
INBK54,FINC2,0.998847734347
INBK54,TRST31,0.996630647789
INBK54,FUND32,0.996391090261
INBK54,FUND48,0.993605228133
INBK54,TRST23,0.987753127218
INBK54,FUND14,0.99773480565
INBK54,FUND17,0.990723939847
INBK54,INSN6,0.979806876465
INBK54,INBK50,0.977792431204
INBK54,INBK69,0.994933055164
INBK54,FUND58,0.978963282675
INBK54,INBK28,0.998249762213
INBK54,INSN5,0.971320799405
INBK54,TRST5,1.0
INBK54,FUND34,0.996405204995
INBK54,FUND52,0.99653495257
INBK54,INSN11,0.997971764125
INBK54,INBK67,0.995381912326
INBK54,TRST3,0.981631749719
INBK54,INBK61,1.0
INBK54,INBK27,0.998244879099
INBK54,INSN1,0.976889681419
INBK54,FUND15,0.986072385454
INBK54,FUND16,0.994255144912
INBK54,INBK32,0.0
INBK54,FUND20,0.992125599923
INBK54,FUND22,0.0
INBK54,FUND30,0.99709216499
INBK54,FINC20,0.997497678471
INBK54,INBK59,0.988296576663
INBK54,FUND25,1.0
INBK54,TRST15,0.996181069047
INBK54,INBK64,0.993452680696
INBK54,TRST4,0.0
INBK54,TRST26,0.0
INBK54,INBK46,0.985975555033
INBK54,FUND39,0.978945322333
INBK54,FUND11,0.992023583474
INBK54,INBK72,0.991170783433
INBK54,INBK55,0.999917688606
INBK54,FUND4,0.995051723394
INBK54,INBK9,0.999504408241
INBK54,FUND37,0.9837759628
INBK54,FUND46,0.993047348504
INBK54,FINC28,0.999824003384
INBK54,INSN13,0.983351920207
INBK54,INBK71,0.988823586746
INBK54,FUND2,0.982036366154
INBK54,FUND12,0.994506730277
