INST1,INST2,cosine
TRST36,TRST14,1.0
TRST36,INBK58,0.991627793797
TRST36,INBK54,0.997107369834
TRST36,TRST19,0.996513938311
TRST36,INBK66,0.995018372206
TRST36,INBK12,0.996466777123
TRST36,FUND1,1.0
TRST36,INBK11,0.99941271198
TRST36,FINC6,0.0
TRST36,INBK29,0.996357973734
TRST36,FUND47,1.0
TRST36,TRST29,0.0
TRST36,INBK77,0.999049042498
TRST36,FINC14,0.0
TRST36,TRST17,1.0
TRST36,FINC21,0.992453716892
TRST36,INBK15,0.996928478497
TRST36,TRST39,0.979892729872
TRST36,FUND18,0.996325713314
TRST36,INBK35,0.994779080456
TRST36,INSN7,0.997327345445
TRST36,INBK2,0.999266037937
TRST36,FUND10,0.995110184147
TRST36,INBK20,0.987483733192
TRST36,FUND28,0.990089280889
TRST36,TRST27,1.0
TRST36,FINC38,0.0
TRST36,FINC33,0.0
TRST36,TRST25,0.993810454587
TRST36,TRST1,0.0
TRST36,FINC11,0.0
TRST36,INBK37,0.0
TRST36,INBK74,0.995064108523
TRST36,INBK78,1.0
TRST36,INBK42,0.999863297015
TRST36,QFII8,0.989549299976
TRST36,INBK34,0.994386825912
TRST36,FINC30,0.994357393277
TRST36,FINC37,0.0
TRST36,INBK48,0.997183603089
TRST36,INBK5,0.997619004945
TRST36,FINC7,0.999617354135
TRST36,QFII5,0.0
TRST36,TRST18,0.0
TRST36,TRST22,0.999295284288
TRST36,INSN12,0.0
TRST36,INBK75,0.998487133957
TRST36,INSN4,0.0
TRST36,INBK8,0.999360057001
TRST36,TRST2,0.0
TRST36,INBK14,0.99969390299
TRST36,TRST30,0.999304337096
TRST36,INBK73,0.995584104526
TRST36,INSN9,0.0
TRST36,INBK22,0.999763019902
TRST36,FUND19,0.999551332452
TRST36,FUND26,0.990843407867
TRST36,TRST24,0.0
TRST36,TRST40,1.0
TRST36,FUND27,0.999875992607
TRST36,FINC3,1.0
TRST36,TRST41,0.0
TRST36,INSN8,0.0
TRST36,INBK33,0.999312066917
TRST36,FINC32,0.999045956138
TRST36,FUND55,0.997774179764
TRST36,FINC5,1.0
TRST36,INBK19,0.980638493486
TRST36,INBK44,0.989382541322
TRST36,INBK56,1.0
TRST36,FINC26,0.999898171444
TRST36,FUND57,0.999992906038
TRST36,FINC17,0.0
TRST36,INBK57,0.99938429737
TRST36,FUND54,1.0
TRST36,FUND60,0.997255274988
TRST36,TRST21,0.0
TRST36,FUND9,0.997123020406
TRST36,INBK3,0.999408965706
TRST36,FUND45,0.997953934649
TRST36,TRST32,0.999925271485
TRST36,FUND7,0.996799241099
TRST36,INBK13,0.979257715066
TRST36,INBK21,0.988472030083
TRST36,INBK23,0.0
TRST36,TRST11,1.0
TRST36,INBK26,0.99279873576
TRST36,FUND23,0.999515433808
TRST36,QFII6,0.0
TRST36,INBK53,0.993766653282
TRST36,FUND51,0.0
TRST36,INBK41,0.998650440647
TRST36,FINC2,0.998129642384
TRST36,TRST31,0.998801840845
TRST36,FUND32,1.0
TRST36,FUND48,0.0
TRST36,TRST23,0.998828039667
TRST36,FUND14,0.997544579991
TRST36,FUND17,0.9932778088
TRST36,INSN6,0.0
TRST36,INBK50,0.995251322191
TRST36,INBK69,0.995886891875
TRST36,FUND58,0.998576176522
TRST36,INBK28,0.997233491119
TRST36,INSN5,0.0
TRST36,TRST5,1.0
TRST36,FUND34,0.996617046534
TRST36,FUND52,0.998022655014
TRST36,INSN11,0.0
TRST36,INBK67,0.992844165519
TRST36,TRST3,0.999181911435
TRST36,INBK61,0.995587500547
TRST36,INBK27,0.996513938311
TRST36,INSN1,0.0
TRST36,FUND15,1.0
TRST36,FUND16,1.0
TRST36,INBK32,0.0
TRST36,FUND20,0.99875531268
TRST36,FUND22,1.0
TRST36,FUND30,0.0
TRST36,FINC20,0.0
TRST36,INBK59,0.994526157758
TRST36,FUND25,1.0
TRST36,TRST15,1.0
TRST36,INBK64,0.985812559606
TRST36,TRST4,0.0
TRST36,TRST26,0.0
TRST36,INBK46,0.999508726111
TRST36,FUND39,1.0
TRST36,FUND11,0.998444335773
TRST36,INBK72,0.995767554984
TRST36,INBK55,0.0
TRST36,FUND4,0.992143650024
TRST36,INBK9,0.996083930895
TRST36,FUND37,0.992143650013
TRST36,FUND46,0.990005951683
TRST36,FINC28,0.977182626646
TRST36,INSN13,0.0
TRST36,INBK71,0.995596940196
TRST36,FUND2,0.996068285082
TRST36,FUND12,0.993928923628
TRST36,FUND36,1.0
TRST36,FUND56,0.999494303508
TRST36,TRST37,0.0
TRST36,FUND8,0.996513938311
TRST36,INBK43,0.0
TRST36,TRST16,0.0
TRST36,TRST28,0.999999964472
TRST36,FUND53,0.995430046677
TRST36,INBK30,1.0
TRST36,INBK24,0.992167487214
TRST36,FUND43,0.0
TRST36,TRST7,0.0
TRST36,TRST20,0.0
TRST36,INBK49,1.0
TRST36,FUND40,0.0
TRST36,FUND5,0.0
TRST36,INBK10,0.997610033964
TRST36,FINC24,0.999941425322
TRST36,FINC27,0.0
TRST36,INBK47,0.0
TRST36,FUND42,1.0
TRST36,FUND59,1.0
TRST36,FUND6,0.997970261992
TRST36,TRST13,0.999999991639
TRST36,INBK7,0.997167486667
TRST36,FUND38,0.0
TRST36,QFII3,0.0
TRST36,FUND21,1.0
TRST36,FINC35,0.0
TRST36,FUND44,0.0
TRST36,FINC25,0.0
TRST36,INBK68,0.999746284779
TRST36,FINC19,0.991696237925
TRST36,INBK70,0.996329148427
TRST36,TRST8,0.99739499532
TRST36,INSN10,0.0
TRST36,FUND13,0.0
TRST36,FINC18,0.0
TRST36,INSN3,0.0
TRST36,FUND24,0.0
TRST36,INBK76,0.0
TRST36,TRST9,0.0
TRST36,INBK80,0.0
TRST36,FUND50,0.0
TRST36,INBK63,0.99959928768
TRST36,QFII10,0.0
TRST36,FUND33,1.0
TRST36,INBK18,0.0
TRST36,QFII2,0.999399101314
TRST36,INBK60,0.0
TRST36,INBK62,0.999945809862
TRST36,INBK6,0.0
TRST36,FUND31,1.0
TRST36,FINC31,0.0
TRST36,FINC34,0.0
TRST36,FINC4,0.0
TRST36,FUND49,0.0
TRST36,FUND61,0.0
TRST36,TRST33,0.0
TRST36,TRST38,0.0
TRST14,INBK58,0.996142654767
TRST14,INBK54,0.97335866735
TRST14,TRST19,0.986639515712
TRST14,INBK66,0.97775456305
TRST14,INBK12,0.992822534141
TRST14,FUND1,0.0
TRST14,INBK11,0.99637818325
TRST14,FINC6,0.0
TRST14,INBK29,0.999738169303
TRST14,FUND47,0.0
TRST14,TRST29,0.0
TRST14,INBK77,0.976006401164
TRST14,FINC14,0.0
TRST14,TRST17,1.0
TRST14,FINC21,0.977097512369
TRST14,INBK15,0.992436043692
TRST14,TRST39,0.994828066755
TRST14,FUND18,0.0
TRST14,INBK35,0.993057379343
TRST14,INSN7,0.963642855052
TRST14,INBK2,0.988471767682
TRST14,FUND10,0.998063682404
TRST14,INBK20,0.980997306797
TRST14,FUND28,0.98546589841
TRST14,TRST27,0.0
TRST14,FINC38,0.0
TRST14,FINC33,0.0
TRST14,TRST25,0.996927597505
TRST14,TRST1,0.0
TRST14,FINC11,0.0
TRST14,INBK37,0.0
TRST14,INBK74,0.992664220576
TRST14,INBK78,0.0
