stkcd,dealseq,inscode,biddercode,price_normal,shares,policy_flag
'002276,1,TRST36,TRST36_1,1.49122807,1000,0
'002276,1,TRST14,TRST14_2,1.473684211,500,0
'002276,1,INBK58,INBK58_1,1.447368421,1000,0
'002276,1,INBK54,INBK54_3,1.418421053,300,0
'002276,1,TRST19,TRST19_1,1.403508772,500,0
'002276,1,INBK66,INBK66_1,1.403508772,400,0
'002276,1,TRST14,TRST14_2,1.368421053,300,0
'002276,1,INBK12,INBK12_4,1.324561404,400,0
'002276,1,FUND1,FUND1_7,1.315789474,1000,0
'002276,1,INBK11,INBK11_2,1.315789474,300,0
'002276,1,FINC6,FINC6_1,1.315789474,1000,0
'002276,1,INBK29,INBK29_4,1.315789474,200,0
'002276,1,TRST19,TRST19_1,1.315789474,500,0
'002276,1,FUND47,FUND47_2,1.315789474,500,0
'002276,1,TRST29,TRST29_1,1.315789474,400,0
'002276,1,INBK77,INBK77_38,1.315789474,1000,0
'002276,1,INBK77,INBK77_45,1.315789474,1000,0
'002276,1,FINC14,FINC14_1,1.306140351,600,0
'002276,1,TRST17,TRST17_1,1.306140351,1000,0
'002276,1,FINC21,FINC21_1,1.306140351,1000,0
'002276,1,INBK15,INBK15_3,1.298245614,1000,0
'002276,1,INBK54,INBK54_3,1.289473684,300,0
'002276,1,TRST39,TRST39_5,1.289473684,1000,0
'002276,1,FUND18,FUND18_13,1.281578947,500,0
'002276,1,INBK35,INBK35_3,1.280701754,300,0
'002276,1,INSN7,INSN7_3,1.280701754,1000,0
'002276,1,INSN7,INSN7_4,1.280701754,600,0
'002276,1,INSN7,INSN7_5,1.280701754,610,0
'002276,1,INSN7,INSN7_6,1.280701754,160,0
'002276,1,INSN7,INSN7_10,1.280701754,430,0
'002276,1,INSN7,INSN7_11,1.280701754,630,0
'002276,1,INSN7,INSN7_24,1.280701754,1000,0
'002276,1,INSN7,INSN7_25,1.280701754,1000,0
'002276,1,INSN7,INSN7_27,1.280701754,1000,0
'002276,1,INSN7,INSN7_28,1.280701754,1000,0
'002276,1,INSN7,INSN7_29,1.280701754,1000,0
'002276,1,INSN7,INSN7_30,1.280701754,1000,0
'002276,1,INSN7,INSN7_31,1.280701754,1000,0
'002276,1,INSN7,INSN7_38,1.280701754,1000,0
'002276,1,INSN7,INSN7_39,1.280701754,350,0
'002276,1,INSN7,INSN7_41,1.280701754,1000,0
'002276,1,INBK2,INBK2_1,1.278947368,1000,0
'002276,1,INBK11,INBK11_2,1.271929825,300,0
'002276,1,INBK12,INBK12_4,1.271929825,600,0
'002276,1,FUND10,FUND10_4,1.271929825,1000,0
'002276,1,FUND10,FUND10_14,1.271929825,1000,0
'002276,1,FUND10,FUND10_15,1.271929825,1000,0
'002276,1,INBK20,INBK20_5,1.271929825,1000,0
'002276,1,FUND28,FUND28_4,1.271929825,1000,0
'002276,1,FUND28,FUND28_11,1.271929825,1000,0
'002276,1,FUND28,FUND28_12,1.271929825,1000,0
'002276,1,TRST27,TRST27_1,1.271929825,300,0
